StreetAddress,City,State,ZipCode,AUTO_UNIQUE_ID_2024-05-08_Charissa-Roeuiowaedu_Addresses,TransactionId,TimeTaken,Source,Version,UpdatedGeocoding,ErrorMessage,Latitude,Longitude,MatchType,FeatureMatchingGeographyType,MicroMatchStatus,MatchScore,GeocodeQualityType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType,PenaltyCode,PenaltyCodeSummary,InterpolationType,InterpolationSubType,MatchedLocationType,FeatureMatchingResultType,FeatureMatchingResultCount,FeatureMatchingResultTypeNotes,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,OutputGeocodes,MNumber,MNumberFractional,MPreDirectional,MPreQualifier,MPreType,MPreArticle,MName,MPostArticle,MSuffix,MPostQualifier,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,PNumber,PNumberFractional,PPreDirectional,PPreQualifier,PPreType,PPreArticle,PName,PPostArticle,PSuffix,PPostQualifier,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5
104 WALNUT ST,NUMA,IA,52544,22,37f13dd2-7106-41ab-adee-843efd6af1df,0.328103,TAMUGeocoder,5.0.0,1,,40.6888487177458,-92.9791133296951,,StreetSegment,Match,98.8165680473373,,1953.12,Meters,03,StreetSegmentInterpolation,MMMMMM5MMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},104,,,,,,WALNUT,,ST,,,,,,,NUMA,,,,,IA,52544,,,,,,104,,,,,,WALNUT,,ST,,,,,,,NUMA,,,,,IA,52544,,,,,
721 N 1ST ST,CENTERVILLE,IA,52544,23,cae314b3-a061-4c4e-8a45-80399293d7d2,0.3281358,TAMUGeocoder,5.0.0,1,,40.7396862040056,-92.8869193369856,,StreetSegment,Match,100,,1582.73,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},721,,N,,,,1ST,,ST,,,,,,,CENTERVILLE,,,,,IA,52544,,,,,,721,,N,,,,1ST,,ST,,,,,,,CENTERVILLE,,,,,IA,52544,,,,,
312 E MAPLE,CENTERVILLE,IA,52544,24,7be88de7-88ab-490d-9a79-efb76feac895,0.1718742,TAMUGeocoder,5.0.0,1,,40.7324719748309,-92.8711372676768,,StreetSegment,Match,97.0414201183432,,1815.99,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},312,,E,,,,MAPLE,,,,,,,,,CENTERVILLE,,,,,IA,52544,,,,,,312,,E,,,,MAPLE,,,,,,,,,CENTERVILLE,,,,,IA,52544,,,,,
708 S MAIN ST,CENTERVILLE,IA,52544,25,6dfb012b-3026-4f04-bcdc-b1159dd87850,0.2194277,TAMUGeocoder,5.0.0,1,,40.7278302419736,-92.8742166457496,,StreetSegment,Match,100,,1962.56,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},708,,S,,,,MAIN,,ST,,,,,,,CENTERVILLE,,,,,IA,52544,,,,,,708,,S,,,,MAIN,,ST,,,,,,,CENTERVILLE,,,,,IA,52544,,,,,
112 W. MAIN ST,EXLINE,IA,52555,26,9c165297-bb82-463d-b3f1-5f3f70b11207,0.0943205,TAMUGeocoder,5.0.0,1,,40.6481260447875,-92.8387099331402,,StreetSegment,Match,95.8579881656805,,4196.69,Meters,03,StreetSegmentInterpolation,MMMMMMDMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},112,,W,,,,MAIN,,ST,,,,,,,EXLINE,,,,,IA,52555,,,,,,112,,W,,,,MAIN,,ST,,,,,,,EXLINE,,,,,IA,52555,,,,,
403 Front St,Plano,IA,52581,27,a835130a-f1b0-4307-9fc8-02214a87713d,0.0781621,TAMUGeocoder,5.0.0,1,,40.7564068789002,-93.046025897009,,StreetSegment,Match,100,,2159.85,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},403,,,,,,FRONT,,ST,,,,,,,Plano,,,,,IA,52581,,,,,,403,,,,,,FRONT,,ST,,,,,,,Plano,,,,,IA,52581,,,,,
102 DEPOT LANE,CINCINNATI,IA,52549,28,415d01f5-ee6a-40d3-b3ac-dd158e96d175,0.4062509,TAMUGeocoder,5.0.0,1,,40.6137658178074,-92.9464379555036,,ZCTA,Match,100,,113384836.45,Meters,09,AddressZIPCentroid,MMFM3FMMMMFFF9,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},102,,,,,,DEPOT,,LN,,,,,,,CINCINNATI,,,,,IA,52549,,,,,,102,,,,,,DEPOT,,LN,,,,,,,CINCINNATI,,,,,IA,52549,,,,,
116 S WILLIAM,MORAVIA,IA,52571,29,0af21836-d936-406a-8288-b24828389c45,0.0781055,TAMUGeocoder,5.0.0,1,,40.8902248752928,-92.8146134539721,,StreetSegment,Match,97.0414201183432,,2707.65,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},116,,S,,,,WILLIAM,,,,,,,,,MORAVIA,,,,,IA,52571,,,,,,116,,S,,,,WILLIAM,,,,,,,,,MORAVIA,,,,,IA,52571,,,,,
208 W Union St,Unionville,IA,52594,30,221a767f-5b53-4f68-b8c8-760c6444944b,0.0781199,TAMUGeocoder,5.0.0,1,,40.8199012710963,-92.6979740668186,,StreetSegment,Match,100,,2181.28,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},208,,W,,,,UNION,,ST,,,,,,,Unionville,,,,,IA,52594,,,,,,208,,W,,,,UNION,,ST,,,,,,,Unionville,,,,,IA,52594,,,,,
201 N 12TH,CENTERVILLE,IA,52544,31,84a08082-ab0e-4556-8aa3-ef5c43cf0a60,0.08741,TAMUGeocoder,5.0.0,1,,40.7342351491732,-92.8749899699383,,StreetSegment,Match,97.0414201183432,,1721.76,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},201,,N,,,,12TH,,,,,,,,,CENTERVILLE,,,,,IA,52544,,,,,,201,,N,,,,12TH,,,,,,,,,CENTERVILLE,,,,,IA,52544,,,,,
107 S 2ND ST,MYSTIC,IA,52574,32,d948fe09-6324-462e-a493-145c0a0ee3ed,0.0468811,TAMUGeocoder,5.0.0,1,,40.7781521299722,-92.9454710609405,,StreetSegment,Match,97.9289940828402,,3532.1,Meters,03,StreetSegmentInterpolation,MMMMMM7MMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},107,,S,,,,2ND,,ST,,,,,,,MYSTIC,,,,,IA,52574,,,,,,107,,S,,,,2ND,,ST,,,,,,,MYSTIC,,,,,IA,52574,,,,,
111 S MAIN ST,MOULTON,IA,52572,33,df2f479d-fc40-4fca-af7b-9cd8d50ef7f2,0.0462858,TAMUGeocoder,5.0.0,1,,40.6840106287082,-92.6770954576893,,StreetSegment,Match,100,,2546.98,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},111,,S,,,,MAIN,,ST,,,,,,,MOULTON,,,,,IA,52572,,,,,,111,,S,,,,MAIN,,ST,,,,,,,MOULTON,,,,,IA,52572,,,,,
400 N DIVISION ST W,AUDUBON,IA,50025,34,521beff2-63e8-4021-ba9b-46572c8db26e,0.0481366,TAMUGeocoder,5.0.0,1,,41.7241603331648,-94.9405920138467,,StreetSegment,Match,100,,1564.93,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},400,,N,,,,DIVISION,,ST,,W,,,,,AUDUBON,,,,,IA,50025,,,,,,400,,N,,,,DIVISION,,ST,,W,,,,,AUDUBON,,,,,IA,50025,,,,,
106 N JEFFERSON,EXIRA,IA,50076,35,ef806cba-788a-4cc4-b2b9-397d4cd81409,0.5475829,TAMUGeocoder,5.0.0,1,,41.5902769193579,-94.8762712088545,,StreetSegment,Review,92.8994082840237,,2337.78,Meters,03,StreetSegmentInterpolation,MMMMMFDMMFFFFC,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},106,,N,,,,JEFFERSON,,,,,,,,,EXIRA,,,,,IA,50076,,,,,,106,,N,,,,JEFFERSON,,,,,,,,,EXIRA,,,,,IA,50076,,,,,
508 1ST AVE,VAN HORNE,IA,52346,36,9d95b2fc-aff2-4ac9-ad67-e6722d8718eb,0.2975458,TAMUGeocoder,5.0.0,1,,42.0075107730547,-92.0912386117523,,StreetSegment,Match,100,,1418.05,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},508,,,,,,1ST,,AVE,,,,,,,VAN HORNE,,,,,IA,52346,,,,,,508,,,,,,1ST,,AVE,,,,,,,VAN HORNE,,,,,IA,52346,,,,,
114 MAIN STREET SW,SHELLSBURG,IA,52332,37,0d547b41-cc30-4fff-b899-b5d4f4c30157,0.110044,TAMUGeocoder,5.0.0,1,,42.0944992513126,-91.869703137878,,StreetSegment,Match,97.6331360946746,,4961.35,Meters,03,StreetSegmentInterpolation,MMMMMM6MMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},114,,,,,,MAIN,,ST,,SW,,,,,SHELLSBURG,,,,,IA,52332,,,,,,114,,,,,,MAIN,,ST,,SW,,,,,SHELLSBURG,,,,,IA,52332,,,,,
1309 5TH AVE,BELLE PLAINE,IA,52208,38,1d42c5a1-a4dd-439c-b39c-88f1143dc8e1,0.2819063,TAMUGeocoder,5.0.0,1,,41.8971490560949,-92.2814284136185,,StreetSegment,Match,100,,2508.82,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1309,,,,,,5TH,,AVE,,,,,,,BELLE PLAINE,,,,,IA,52208,,,,,,1309,,,,,,5TH,,AVE,,,,,,,BELLE PLAINE,,,,,IA,52208,,,,,
1309 5TH AVENUE,BELLE PLAINE,IA,52208,39,25ec980c-ef73-4559-b209-a0f6cda593d9,0.0312517,TAMUGeocoder,5.0.0,1,,41.8971490560949,-92.2814284136185,,StreetSegment,Match,100,,2508.82,Meters,03,StreetSegmentInterpolation,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},1309,,,,,,5TH,,AVE,,,,,,,BELLE PLAINE,,,,,IA,52208,,,,,,1309,,,,,,5TH,,AVE,,,,,,,BELLE PLAINE,,,,,IA,52208,,,,,
504 13TH STREET,BELLE PLAINE,IA,52208,40,42cf5335-958e-4516-98a0-392a339afd9b,1.2400836,TAMUGeocoder,5.0.0,1,,41.8971000162509,-92.2799390666667,,StreetSegment,Match,100,,1761.28,Meters,03,StreetSegmentInterpolation,MMMMMFMMMFFFFC,MMMMMMMMMMMMMM,LinearInterpolation,LinearInterpolationAddressRange,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},504,,,,,,13TH,,ST,,,,,,,BELLE PLAINE,,,,,IA,52208,,,,,,504,,,,,,13TH,,ST,,,,,,,BELLE PLAINE,,,,,IA,52208,,,,,
